Fordító és tolmács szak bemutató,Ha mindig is szeretted az idegen nyelveket gyere és ismerd meg hogyan tanulják ezt a Sapientias diákok
Kertészmérnöki szak,Szereted a természetet? Ismerd meg te is szakunkat ami biztosan kedvedre lesz!
Tájépítészet szak,Ha szeretsz rajzolni ne hagyd ki ezt a bemutatót!
Kommunikáció és közkapcsolatok szak,Fedezd fel lehetőségeid a kommunikáció terén
Közegészségügyi szolgáltatások és politikák szak,Ismerd meg a közegészségügy szakot
Automatika és alkalmazott informatika szak,Ismerd meg az automatizálás szakot
Gépészmérnöki szak,Nyerj betekintést a gépészmérnöki szak rejtelmeibe
Távközlés szak,Tekints bele egy távközléses diák mindennapjaiba és lehetőségeibe
Informatika szak,Tudd meg mivel is jár egyik legkedveltebb szakunkon tanulni
Mechatronika szak,Ismerd meg a mechatronika szakot
Számítástechnika szak,Ismerd meg a számítástechnika szakot
Agrármérnöki szak,Ismerd meg az agrármérnöki szakot
Erdőmérnöki szak,Ismerd meg az erdőmérnöki szakot
Könyvtár bemutató,Tekintsd meg a könyvtár által nyújtott kellemes atmoszférát és gyönyörű kilátást
Sapi-tour,Járd körbe a kampuszt hogy amikor elkezded tanulmányaid tudd mit hol kell keresni
HÖK-bemutató,Ismerd meg a hallgatói önkormányzat tagjait és működését
MIÚJSÁG.ZIP nyílt gyűlés,Nyerj betekintést az egyetemi diáklap szerkesztőségébe és ismerd meg ennek tagjait
